#,Source,book/wikipedia,Passage,Question,Answer,Passagem,Questão,Resposta
1,Campos Basin.txt ,wikipedia,"The Campos Basin is one of 12 coastal sedimentary basins of Brazil. It spans both onshore and offshore parts of the South Atlantic with the onshore part located near Rio de Janeiro. The basin originated in Neocomian stage of the Cretaceous period 145–130 million years ago during the breakup of Gondwana. It has a total area of about 115,000 square kilometres (44,000 sq mi), with the onshore portion small at only 500 square kilometres (190 sq mi).",How many coastal sedimentary basins are there in Brazil?,12.,"A Bacia de Campos é uma das 12 bacias sedimentares costeiras do Brasil. Ele abrange as partes onshore e offshore do Atlântico Sul com a parte de onshore localizada perto do Rio de Janeiro. A bacia originou-se na fase neocomiana do período cretáceo 145-130 milhões de anos atrás, durante o rompimento de Gondwana. Tem uma área total de cerca de 115.000 quilômetros quadrados (44.000 mi), com a porção onshore pequena em apenas 500 quilômetros quadrados (190 mi).",Quantas bacias sedimentares costeiras existem no Brasil?,12.
2,Campos Basin.txt ,wikipedia,"The Campos Basin is one of 12 coastal sedimentary basins of Brazil. It spans both onshore and offshore parts of the South Atlantic with the onshore part located near Rio de Janeiro. The basin originated in Neocomian stage of the Cretaceous period 145–130 million years ago during the breakup of Gondwana. It has a total area of about 115,000 square kilometres (44,000 sq mi), with the onshore portion small at only 500 square kilometres (190 sq mi).",Why is the Campos Basin called that?,After the Campos dos Goytacazes city.,"A Bacia de Campos é uma das 12 bacias sedimentares costeiras do Brasil. Ele abrange as partes onshore e offshore do Atlântico Sul com a parte de onshore localizada perto do Rio de Janeiro. A bacia originou-se na fase neocomiana do período cretáceo 145-130 milhões de anos atrás, durante o rompimento de Gondwana. Tem uma área total de cerca de 115.000 quilômetros quadrados (44.000 mi), com a porção onshore pequena em apenas 500 quilômetros quadrados (190 mi).",Por que a Bacia de Campos é chamada?,Depois da cidade de Campos dos Goytacazes.
3,Campos Basin.txt ,wikipedia,"The Campos Basin is one of 12 coastal sedimentary basins of Brazil. It spans both onshore and offshore parts of the South Atlantic with the onshore part located near Rio de Janeiro. The basin originated in Neocomian stage of the Cretaceous period 145–130 million years ago during the breakup of Gondwana. It has a total area of about 115,000 square kilometres (44,000 sq mi), with the onshore portion small at only 500 square kilometres (190 sq mi).",Where is located the onshore part of the Campos Basin?,It's located near Rio de Janeiro.,"A Bacia de Campos é uma das 12 bacias sedimentares costeiras do Brasil. Ele abrange as partes onshore e offshore do Atlântico Sul com a parte de onshore localizada perto do Rio de Janeiro. A bacia originou-se na fase neocomiana do período cretáceo 145-130 milhões de anos atrás, durante o rompimento de Gondwana. Tem uma área total de cerca de 115.000 quilômetros quadrados (44.000 mi), com a porção onshore pequena em apenas 500 quilômetros quadrados (190 mi).",Onde está localizado a parte onshore da Bacia de Campos?,Está localizado perto do Rio de Janeiro.
4,Campos Basin.txt ,wikipedia,"The Campos Basin is one of 12 coastal sedimentary basins of Brazil. It spans both onshore and offshore parts of the South Atlantic with the onshore part located near Rio de Janeiro. The basin originated in Neocomian stage of the Cretaceous period 145–130 million years ago during the breakup of Gondwana. It has a total area of about 115,000 square kilometres (44,000 sq mi), with the onshore portion small at only 500 square kilometres (190 sq mi).",How big is the Campos Basin?,"It's about 115,000 square kilometres.","A Bacia de Campos é uma das 12 bacias sedimentares costeiras do Brasil. Ele abrange as partes onshore e offshore do Atlântico Sul com a parte de onshore localizada perto do Rio de Janeiro. A bacia originou-se na fase neocomiana do período cretáceo 145-130 milhões de anos atrás, durante o rompimento de Gondwana. Tem uma área total de cerca de 115.000 quilômetros quadrados (44.000 mi), com a porção onshore pequena em apenas 500 quilômetros quadrados (190 mi).",Quão grande é a bacia de Campos?,São cerca de 115.000 quilômetros quadrados.
5,Campos Basin.txt ,wikipedia,"The Campos Basin is one of 12 coastal sedimentary basins of Brazil. It spans both onshore and offshore parts of the South Atlantic with the onshore part located near Rio de Janeiro. The basin originated in Neocomian stage of the Cretaceous period 145–130 million years ago during the breakup of Gondwana. It has a total area of about 115,000 square kilometres (44,000 sq mi), with the onshore portion small at only 500 square kilometres (190 sq mi).",How old is the Campos Basin?,The Basin is 145 million old.,"A Bacia de Campos é uma das 12 bacias sedimentares costeiras do Brasil. Ele abrange as partes onshore e offshore do Atlântico Sul com a parte de onshore localizada perto do Rio de Janeiro. A bacia originou-se na fase neocomiana do período cretáceo 145-130 milhões de anos atrás, durante o rompimento de Gondwana. Tem uma área total de cerca de 115.000 quilômetros quadrados (44.000 mi), com a porção onshore pequena em apenas 500 quilômetros quadrados (190 mi).",Quantos anos tem a Bacia de Campos?,A bacia é de 145 milhões de velha.
6,Coastline of Brazil.txt,wikipedia,"A famous expression in Brazil is ""from Oiapoque to Chuí"", which means from the extreme south to the extreme north of the country. However, the actual northernmost point in Brazil is the Monte Caburaí in the far from the coast state of Roraima, whereas the southernmost point is in Santa Vitória do Palmar, the city from which Chuí emancipated.","What is the meaning of the popular Brazilian expression ""from Oiapoque to Chuí""?","It means ""from the extreme south to the extreme north"" of the country.","Uma expressão famosa no Brasil é ""de Oiapoque a Chuí"", o que significa do extremo sul até o extremo norte do país. No entanto, o ponto mais ao norte do Brasil é o Monte Caburaí no distante do estado da costa de Roraima, enquanto o ponto mais meridional é em Santa Vitória do Palmar, a cidade da qual Chuí emancipou.","Qual é o significado da expressão brasileira popular ""de Oiapoque a Chuí""?","Significa ""do extremo sul até o extremo norte"" do país."
7,Coastline of Brazil.txt,wikipedia,"A famous expression in Brazil is ""from Oiapoque to Chuí"", which means from the extreme south to the extreme north of the country. However, the actual northernmost point in Brazil is the Monte Caburaí in the far from the coast state of Roraima, whereas the southernmost point is in Santa Vitória do Palmar, the city from which Chuí emancipated.",What is the northernmost point in Brazil?,It's the Monte Caburaí in the state of Roraima.,"Uma expressão famosa no Brasil é ""de Oiapoque a Chuí"", o que significa do extremo sul até o extremo norte do país. No entanto, o ponto mais ao norte do Brasil é o Monte Caburaí no distante do estado da costa de Roraima, enquanto o ponto mais meridional é em Santa Vitória do Palmar, a cidade da qual Chuí emancipou.",Qual é o ponto mais ao norte do Brasil?,É o monte caburaí no estado de Roraima.
8,Coastline of Brazil.txt,wikipedia,"Florianópolis, the capital of Santa Catarina, is located at one of the largest coastal islands of Brazil, the Ilha de Santa Catarina, with an area of 424,4 km². The Serra do Mar mountain range starts in Santa Catarina, and runs along the coastlines of Paraná, São Paulo, Rio de Janeiro and Espírito Santo. ",How big is Santa Catarina island?,"It has an area of 424,4 km².","Florianópolis, a capital de Santa Catarina, está localizada em uma das maiores ilhas costeiras do Brasil, a Ilha de Santa Catarina, com uma área de 424,4 km². A Cordilheira da Serra do Mar começa em Santa Catarina, e corre ao longo dos litorais do Paraná, São Paulo, Rio de Janeiro e Espírito Santo.",Quão grande é a ilha de Santa Catarina?,"Tem uma área de 424,4 km²."
9,Coastline of Brazil.txt,wikipedia,"Piauí has a coastline of only some 60 km, the shortest of the country. Four cities (Cajueiro da Praia, Ilha Grande Luís Correia and Parnaíba) make up the coast of the state. ",Which Brazilian state accounts for the shortest coastline in the country?,The Piauí state.,"Piauí tem um litoral de apenas cerca de 60 km, o mais curto do país. Quatro cidades (Cajueiro da Praia, Ilha Grande Luís Correia e Parnaíba) compõem a costa do estado.",Qual estado brasileiro é responsável pelo litoral mais curto do país?,O estado de Piauí.
10,Coastline of Brazil.txt,wikipedia,"In Maranhão, some unique geographical features (like the Lençóis Maranhenses) are present. The area between Maranhão and Pará is dominated by the ""Reentrâncias Maranhenses"", a landform similar to a fjord but shorter, narrower and lower. Because of this particular geography, there are almost no beaches at this section of the Brazilian coastline. ",Where are Lençóis Maranhenses located?,They are in Maranhão.,"No Maranhão, algumas características geográficas únicas (como as Lençóis Maranhenses) estão presentes. A área entre Maranhão e Pará é dominada pelas ""reentrâncias Maranhenses"", uma forma semelhante a um fiorde, mas mais curta, mais estreita e inferior. Por causa dessa geografia particular, quase não há praias nesta seção do litoral brasileiro.",Onde estão localizados Lençóis Maranhenses?,Eles estão no Maranhão.
11,Coastline of Brazil.txt,wikipedia,"Amapá's coastline is almost 600 km long, but there are only three beaches: Fazendinha, Boca do Inferno and Goiabal. The coastline of Brazil ends at Cape Orange, in the city of Oiapoque. ",What are the beaches of Amapá?,"There are only three beaches: Fazendinha, Boca do Inferno and Goiabal.","O litoral de Amapá é quase 600 km de comprimento, mas há apenas três praias: Fazendinha, Boca do Inferno e Goiabal. O litoral do Brasil termina em Cabo Laranja, na cidade de Oiapoque.",Quais são as praias de Amapá?,"Existem apenas três praias: Fazendinha, Boca do Inferno e Goiabal."
